date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:49	3518/3518	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:16:32%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0140.20191624_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0140.20191624_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:56	83827/83827	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:09:28%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0012.20190924_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0012.20190924_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:56	3465/3465	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:16:36%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1779.67101627_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1779.67101627_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:57	84409/84409	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:14:17%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0122.20191413_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0122.20191413_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:58	3507/3507	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:19:38%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1589.67101929_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1589.67101929_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:03	105395/105395	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:16:27%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0140.20191624_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0140.20191624_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:04	91127/91127	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:16:31%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1779.67101627_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1779.67101627_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:04	4420/4420	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:21:52%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1598.67102143_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1598.67102143_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:05	3009/3009	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:25:47%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1599.67102539_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1599.67102539_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:10	84905/84905	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:19:32%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1589.67101929_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1589.67101929_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
